date,open,high,low,close,volume
04-05-2006,1.7268,1.7318,1.7149,1.7194,119958000
05-05-2006,1.7283,1.7478,1.7034,1.7478,114818000
08-05-2006,1.7453,1.7613,1.7194,1.7303,84736000
09-05-2006,1.7169,1.7588,1.7064,1.7378,109694000
10-05-2006,1.7298,1.7458,1.7009,1.7039,66006000
11-05-2006,1.7019,1.7034,1.65,1.6725,153920000
12-05-2006,1.6735,1.6849,1.6236,1.6326,97472000
15-05-2006,1.6236,1.6386,1.6066,1.6351,86100000
16-05-2006,1.6381,1.647,1.6121,1.6341,104432000
17-05-2006,1.6186,1.6311,1.5727,1.5767,134082000
18-05-2006,1.5817,1.678,1.5722,1.6266,240544000
19-05-2006,1.6291,1.6959,1.5977,1.6929,196344000
22-05-2006,1.6939,1.7453,1.655,1.7373,222458000
23-05-2006,1.7458,1.7957,1.6839,1.6839,176454000
24-05-2006,1.6665,1.7573,1.6645,1.7553,190842000
25-05-2006,1.7638,1.7802,1.7258,1.7772,116914000
26-05-2006,1.7787,1.8206,1.7687,1.7992,90486000
30-05-2006,1.7822,1.7832,1.7179,1.7278,118416000
31-05-2006,1.7326,1.7428,1.6824,1.7263,103932000
01-06-2006,1.7271,1.7682,1.7109,1.7493,118640000
02-06-2006,1.7553,1.7568,1.6984,1.7338,108858000
05-06-2006,1.7189,1.7229,1.6595,1.6705,100988000
06-06-2006,1.675,1.6859,1.6425,1.6665,85532000
07-06-2006,1.666,1.7229,1.6415,1.6844,106076000
08-06-2006,1.6735,1.6989,1.6171,1.6735,166220000
09-06-2006,1.671,1.7134,1.6685,1.6899,104652000
12-06-2006,1.7064,1.7184,1.6705,1.676,83916000
13-06-2006,1.6705,1.7044,1.6528,1.6695,108060000
14-06-2006,1.671,1.6954,1.65,1.68,97382000
15-06-2006,1.6879,1.7543,1.6795,1.7438,124122000
16-06-2006,1.7398,1.7588,1.7308,1.7503,102702000
19-06-2006,1.7558,1.7697,1.7478,1.7493,84232000
20-06-2006,1.7463,1.7782,1.7398,1.7697,89310000
21-06-2006,1.7628,1.848,1.7628,1.8281,157306000
22-06-2006,1.8231,1.8381,1.8012,1.8141,94640000
