date,open,high,low,close,volume
11-04-2006,4.0571,4.0886,3.9771,4.0743,8251600
12-04-2006,4.0957,4.1557,4.05,4.1029,6859300
13-04-2006,4.0829,4.18,4.0786,4.17,5076400
17-04-2006,4.1429,4.1714,4.1071,4.1714,5381600
18-04-2006,4.18,4.2671,4.1271,4.2571,8466500
19-04-2006,4.2529,4.5357,4.1857,4.44,19187000
20-04-2006,4.4329,4.4714,4.29,4.4443,8883000
21-04-2006,4.47,4.47,4.3414,4.4,9218300
24-04-2006,4.3971,4.5329,4.3014,4.4629,31042200
25-04-2006,4.7157,4.7314,4.4571,4.5257,27640900
26-04-2006,4.5186,4.5714,4.4229,4.4971,14474600
27-04-2006,4.5,4.6143,4.4414,4.47,6516300
28-04-2006,4.2786,4.3986,4.2286,4.2343,15372000
01-05-2006,4.2686,4.3,4.2214,4.2286,10093300
02-05-2006,4.2286,4.34,4.2157,4.3143,9424100
03-05-2006,4.32,4.3214,4.23,4.2443,8360800
04-05-2006,4.23,4.2929,4.2229,4.2843,3287900
05-05-2006,4.2771,4.3471,4.2686,4.3286,4868500
08-05-2006,4.3271,4.3471,4.2714,4.2857,4587100
09-05-2006,4.4586,4.5971,4.3714,4.3886,15789200
10-05-2006,4.39,4.4743,4.3357,4.4157,6365100
11-05-2006,4.4029,4.4314,4.2157,4.2514,10653300
12-05-2006,4.2286,4.25,4.1457,4.2271,6456100
15-05-2006,4.1929,4.2386,4.0043,4.0643,7114800
16-05-2006,4.0714,4.1943,4.0586,4.0943,6390300
17-05-2006,4.1014,4.1157,4.0086,4.0129,6195700
18-05-2006,4.0057,4.1014,3.9557,3.9586,4592700
19-05-2006,3.95,4.0586,3.9489,3.9814,5382300
22-05-2006,3.9629,4.03,3.9143,4,7256900
23-05-2006,4.0343,4.1314,3.9586,3.99,6094900
24-05-2006,3.9714,4.0286,3.8314,3.9914,7155400
25-05-2006,3.9929,4.1071,3.99,4.1071,5455800
26-05-2006,4.1143,4.1571,4.0614,4.1186,3797500
30-05-2006,4.0971,4.1414,3.9286,3.9286,5427100
31-05-2006,3.9543,4.0529,3.9257,3.9557,8331400
01-06-2006,3.9457,4.0729,3.9457,4.0729,4203500
02-06-2006,4.0714,4.1086,3.9714,3.9929,3879400
05-06-2006,3.9671,4.0386,3.8571,3.8971,6242600
06-06-2006,3.9129,3.9129,3.8,3.8414,8615600
07-06-2006,3.8414,3.89,3.7514,3.7714,9676800
